Test : Tempo 1;"15,00000";mm/min
W³aœciwoœci próbki : Etykietka próbki;"13.01_seg9_#1"
W³aœciwoœci próbki : D³ugoœæ;"25,00000";mm
W³aœciwoœci próbki : Szerokoœæ;"6,66000";mm
W³aœciwoœci próbki : Gruboœæ;"2,46000";mm
Odkszta³cenie : Odkszta³cenie 1 d³ugoœæ pomiarowa;"10,00000";mm
Odkszta³cenie : Odkszta³cenie przy rozci¹ganiu (Przemieszczenie) d³ugoœæ pomiarowa;"25,00000";mm

Godzina;Przemieszczenie;Obci¹¿enie;Odkszta³cenie 1
(s);(mm);(N);(mm/mm)
"0,00000";"0,00000";"0,27211";"0,00000"
"0,10000";"0,00746";"23,59261";"0,00002"
"0,17800";"0,02761";"49,03526";"0,00004"
"0,20400";"0,03540";"74,22166";"0,00005"
"0,22300";"0,04057";"99,93271";"0,00006"
"0,24200";"0,04554";"126,11414";"0,00008"
"0,26300";"0,05086";"151,18199";"0,00009"
"0,28700";"0,05683";"176,75426";"0,00010"
"0,31300";"0,06334";"201,89781";"0,00011"
"0,33900";"0,06977";"227,83990";"0,00011"
"0,36300";"0,07582";"253,21986";"0,00011"
"0,38600";"0,08169";"278,84390";"0,00012"
"0,40700";"0,08696";"304,51279";"0,00012"
"0,42600";"0,09176";"330,84958";"0,00013"
"0,44300";"0,09604";"356,25461";"0,00014"
"0,45900";"0,10006";"381,32880";"0,00016"
"0,47500";"0,10405";"407,21957";"0,00017"
"0,49100";"0,10806";"433,76285";"0,00019"
"0,50700";"0,11205";"458,96829";"0,00021"
"0,52400";"0,11623";"485,29211";"0,00023"
"0,53900";"0,11990";"512,13635";"0,00026"
"0,55100";"0,12288";"537,31036";"0,00028"
"0,56200";"0,12562";"562,49243";"0,00030"
"0,57300";"0,12834";"588,95239";"0,00032"
"0,58400";"0,13104";"616,24384";"0,00034"
"0,59400";"0,13349";"641,41125";"0,00036"
"0,60400";"0,13596";"666,86951";"0,00038"
"0,61400";"0,13845";"692,69196";"0,00040"
"0,62400";"0,14097";"718,63116";"0,00042"
"0,63400";"0,14348";"744,46649";"0,00043"
"0,64400";"0,14598";"770,17999";"0,00046"
"0,65400";"0,14846";"795,68787";"0,00048"
"0,66400";"0,15092";"821,10992";"0,00050"
"0,67400";"0,15341";"846,94122";"0,00052"
"0,68400";"0,15594";"873,26208";"0,00054"
"0,69400";"0,15847";"899,64008";"0,00056"
"0,70400";"0,16098";"925,90631";"0,00058"
"0,71400";"0,16350";"952,07288";"0,00060"
"0,72400";"0,16600";"978,11121";"0,00062"
"0,73400";"0,16851";"1004,19843";"0,00064"
"0,74400";"0,17104";"1030,58020";"0,00066"
"0,75400";"0,17357";"1057,08130";"0,00068"
"0,76400";"0,17610";"1083,45898";"0,00070"
"0,77400";"0,17861";"1109,60876";"0,00072"
"0,78400";"0,18109";"1135,40369";"0,00074"
"0,79400";"0,18355";"1160,97498";"0,00077"
"0,80400";"0,18603";"1186,70349";"0,00079"
"0,81400";"0,18851";"1212,56580";"0,00081"
"0,82400";"0,19097";"1238,23352";"0,00083"
"0,83400";"0,19342";"1263,76355";"0,00084"
"0,84400";"0,19587";"1289,35486";"0,00086"
"0,85400";"0,19833";"1315,00293";"0,00088"
"0,86400";"0,20080";"1340,84790";"0,00090"
"0,87400";"0,20332";"1367,13562";"0,00092"
"0,88400";"0,20586";"1393,66272";"0,00094"
"0,89400";"0,20839";"1420,12329";"0,00096"
"0,90400";"0,21092";"1446,46313";"0,00099"
"0,91400";"0,21344";"1472,61633";"0,00101"
"0,92400";"0,21594";"1498,68994";"0,00103"
"0,93400";"0,21847";"1524,97632";"0,00105"
"0,94400";"0,22100";"1551,36670";"0,00107"
"0,95400";"0,22351";"1577,49475";"0,00109"
"0,96400";"0,22601";"1603,35657";"0,00111"
"0,97400";"0,22850";"1629,10205";"0,00113"
"0,98400";"0,23098";"1654,73547";"0,00115"
"0,99400";"0,23348";"1680,42676";"0,00117"
"1,00400";"0,23601";"1706,45459";"0,00119"
"1,01400";"0,23856";"1732,59473";"0,00121"
"1,02400";"0,24110";"1758,49707";"0,00123"
"1,03400";"0,24362";"1784,10706";"0,00125"
"1,04400";"0,24612";"1809,36499";"0,00127"
"1,05500";"0,24885";"1836,83289";"0,00129"
"1,06500";"0,25134";"1861,85632";"0,00131"
"1,07500";"0,25383";"1886,85925";"0,00133"
"1,08600";"0,25655";"1913,97595";"0,00135"
"1,09700";"0,25927";"1940,90381";"0,00137"
"1,10800";"0,26200";"1967,85327";"0,00140"
"1,11900";"0,26473";"1994,88965";"0,00142"
"1,13000";"0,26751";"2022,29199";"0,00144"
"1,14000";"0,27007";"2047,49512";"0,00146"
"1,15000";"0,27264";"2072,56055";"0,00148"
"1,16100";"0,27543";"2099,76294";"0,00150"
"1,17200";"0,27820";"2126,54956";"0,00152"
"1,18300";"0,28094";"2152,97900";"0,00154"
"1,19400";"0,28370";"2179,48462";"0,00156"
"1,20500";"0,28646";"2206,07373";"0,00158"
"1,21600";"0,28921";"2232,34766";"0,00160"
"1,22700";"0,29194";"2258,31763";"0,00162"
"1,23800";"0,29466";"2284,04175";"0,00164"
"1,24900";"0,29737";"2309,55762";"0,00166"
"1,26000";"0,30011";"2335,27637";"0,00168"
"1,27100";"0,30288";"2361,19580";"0,00170"
"1,28200";"0,30564";"2386,88525";"0,00172"
"1,29300";"0,30838";"2412,23755";"0,00174"
"1,30500";"0,31134";"2439,43872";"0,00176"
"1,31700";"0,31427";"2466,22437";"0,00179"
"1,32900";"0,31722";"2493,14404";"0,00180"
"1,34100";"0,32018";"2520,09595";"0,00182"
"1,35300";"0,32313";"2546,87646";"0,00184"
"1,36500";"0,32610";"2573,77734";"0,00187"
"1,37700";"0,32909";"2600,78882";"0,00189"
"1,38800";"0,33187";"2625,95752";"0,00191"
"1,39900";"0,33470";"2651,55493";"0,00193"
"1,41000";"0,33754";"2676,99146";"0,00195"
"1,42100";"0,34035";"2702,04883";"0,00197"
"1,43300";"0,34338";"2729,03345";"0,00199"
"1,44500";"0,34638";"2755,74561";"0,00201"
"1,45700";"0,34939";"2782,54956";"0,00203"
"1,46900";"0,35240";"2809,11304";"0,00205"
"1,48100";"0,35538";"2835,22778";"0,00207"
"1,49300";"0,35835";"2861,08789";"0,00209"
"1,50500";"0,36130";"2886,62891";"0,00211"
"1,51700";"0,36428";"2912,30835";"0,00213"
"1,52900";"0,36731";"2938,45630";"0,00215"
"1,54100";"0,37035";"2964,51050";"0,00217"
"1,55300";"0,37337";"2990,23389";"0,00219"
"1,56500";"0,37638";"3015,58740";"0,00221"
"1,57700";"0,37936";"3040,68677";"0,00223"
"1,58900";"0,38237";"3065,90161";"0,00225"
"1,60100";"0,38536";"3090,93335";"0,00227"
"1,61400";"0,38858";"3117,74683";"0,00230"
"1,62700";"0,39180";"3144,45728";"0,00232"
"1,64000";"0,39503";"3171,13745";"0,00234"
"1,65200";"0,39805";"3196,23682";"0,00236"
"1,66400";"0,40110";"3221,65576";"0,00238"
"1,67600";"0,40416";"3246,86646";"0,00240"
"1,68900";"0,40746";"3273,86743";"0,00242"
"1,70200";"0,41073";"3300,43018";"0,00244"
"1,71500";"0,41399";"3326,84692";"0,00246"
"1,72800";"0,41726";"3353,13940";"0,00249"
"1,74100";"0,42049";"3378,89917";"0,00251"
"1,75400";"0,42370";"3404,46802";"0,00253"
"1,76700";"0,42691";"3429,86792";"0,00255"
"1,78000";"0,43015";"3455,58252";"0,00257"
"1,79300";"0,43344";"3481,71436";"0,00259"
"1,80600";"0,43674";"3507,57837";"0,00262"
"1,81900";"0,44002";"3532,97681";"0,00264"
"1,83300";"0,44350";"3559,65698";"0,00266"
"1,84700";"0,44698";"3586,18384";"0,00268"
"1,86100";"0,45046";"3612,72119";"0,00270"
"1,87500";"0,45392";"3638,91626";"0,00272"
"1,88900";"0,45738";"3664,87744";"0,00275"
"1,90300";"0,46084";"3690,83887";"0,00277"
"1,91700";"0,46438";"3717,33838";"0,00279"
"1,93100";"0,46794";"3743,69629";"0,00282"
"1,94500";"0,47148";"3769,47314";"0,00284"
"1,95900";"0,47497";"3794,54932";"0,00285"
"1,97400";"0,47869";"3821,01099";"0,00288"
"1,98900";"0,48244";"3847,37354";"0,00290"
"2,00400";"0,48616";"3872,93994";"0,00293"
"2,01900";"0,48986";"3897,98364";"0,00295"
"2,03500";"0,49382";"3924,65234";"0,00298"
"2,05000";"0,49761";"3950,26685";"0,00300"
"2,06500";"0,50140";"3975,56812";"0,00303"
"2,08100";"0,50542";"4001,97168";"0,00305"
"2,09700";"0,50940";"4027,89111";"0,00307"
"2,11300";"0,51343";"4054,08862";"0,00310"
"2,12900";"0,51745";"4079,92456";"0,00312"
"2,14500";"0,52141";"4105,05908";"0,00315"
"2,16200";"0,52561";"4131,63232";"0,00317"
"2,17800";"0,52965";"4157,59424";"0,00320"
"2,19400";"0,53369";"4183,23389";"0,00322"
"2,21100";"0,53793";"4209,73828";"0,00325"
"2,22800";"0,54212";"4235,92969";"0,00328"
"2,24400";"0,54614";"4261,27393";"0,00330"
"2,26000";"0,55015";"4286,44531";"0,00333"
"2,27700";"0,55439";"4312,72314";"0,00336"
"2,29400";"0,55862";"4338,97217";"0,00339"
